@    title "Stock-Myers: Caso 3" 
@    xaxis  label "r*" 
@    yaxis  label "U*(r*)" 
1.0	2122848.0
1.005	1999438.4317542221
1.01	1883760.6109905527
1.015	1775295.4664846635
1.02	1673561.0823467076
1.025	1578109.8747563155
1.03	1488525.995546046
1.035	1404422.943425492
1.04	1325441.365346489
1.045	1251247.0320597012
1.05	1181528.9733182094
1.055	1115997.759459921
1.06	1054383.9172589767
1.065	996436.4689891448
1.07	941921.584598773
1.075	890621.3377670145
1.08	842332.557402346
1.085	796865.7668649283
1.09	754044.2038501317
1.095	713702.9144681634
1.1	675687.9155992016
1.105	639855.4200999527
1.11	606071.1198903655
1.115	574209.5223624863
1.12	544153.3359306088
1.125	515792.9008864574
1.13	489025.6620378038
1.135	463755.679896683
1.1400000000000001	439893.1774463836
1.145	417354.11975702463
1.15	396059.82393972966
1.155	375936.5971310055
1.16	356915.40038352663
1.165	338931.53650867246
1.17	321924.36007119156
1.175	305837.0078784832
1.18	290616.14843736845
1.185	276211.7489708095
1.19	262576.85869688593
1.195	249667.40717307373
1.2	237442.0166015625
1.205	225861.82707637496
1.21	214890.3338313124
1.215	204493.23561965706
1.22	194638.29342273794
1.225	185295.1987453324
1.23	176435.45081194246
1.235	168032.24202955636
1.24	160060.3511300769
1.245	152496.04344936207
1.25	145316.97784022623
1.255	138502.11975394934
1.26	132031.66005919833
1.2650000000000001	125886.9391989286
1.27	120050.37631507717
1.275	114505.40299785219
1.28	109236.40134135593
1.2850000000000001	104228.64601030534
1.29	99468.25004389904
1.295	94942.11414255318
1.3	90637.87920142706
1.305	86543.88187147808
1.31	82649.1129443588
1.315	78943.17837188859
1.32	75416.26274415401
1.325	72059.09506266958
1.33	68862.9166564568
1.335	65819.45109951803
1.34	62920.87599800367
1.345	60159.79652448969
1.35	57529.22058523091
1.355	55022.53551410346
1.3599999999999999	52633.486194215475
1.365	50356.15451493209
1.37	48184.94007831836
1.375	46114.54207483735
1.38	44139.94225354493
1.385	42256.38891705145
1.3900000000000001	40459.381876195264
1.395	38744.65830371163
1.4	37108.17943022609
1.405	35546.11802965592
1.4100000000000001	34054.846644601064
1.415	32630.926505558706
1.42	31271.0971008274
1.425	29972.26635678452
1.43	28731.50139085167
1.435	27546.019801905866
1.44	26413.181465180474
1.445	25330.480800821737
1.45	24295.539487251222
1.455	23306.09959233158
1.46	22360.01709705984
1.465	21455.255788116865
1.47	20589.881497108578
1.475	19762.056665729928
1.48	18970.035217396875
1.4849999999999999	18212.157717108752
1.49	17486.846802448585
